player,rating
Richard Green,2.3978546263368328
Johnson Wagner,2.3859221731030997
Freddie Jacobson,2.384625855790253
Brandon Hagy,2.3813718382838998
Tyler Duncan,2.380027377123469
Alex Hamilton,2.377497537778715
Grayson Murray,2.3762573555529727
Kramer Hickok,2.37572306917315
Chase Koepka,2.37397190033204
George Coetzee,2.373768470509545
John Senden,2.3705755744229404
Brian Stuard,2.369083943965036
Ben Crane,2.3659092653961133
Vincent Whaley,2.3644186192856553
Ryan Hogue,2.3617320416798258
Roberto Castro,2.36107634494803
Jung-gon Hwang,2.3595911866139505
Bryce Molder,2.359182790459325
Rikuya Hoshino,2.3573554896759554
Troy Merritt,2.3547334833846025
Wenyi Huang,2.354300238398074
Bryce Easton,2.3499346676731285
